"Name","IconSWF","IconExportName","LocalizedName","SortOrder","Enabled","FileName","TestLanguage","UsedSystemFont","PreferedFallbackFont","ForcedFontFullName","HelpshiftSDKLanguage","HelpshiftSDKLanguageAndroid","TestExcludes","LoadAllLanguages","TermsAndServiceUrl","ParentsGuideUrl","PrivacyPolicyUrl","LaserboxUrl","LaserboxStagingUrl","LaserboxCommunityUrl","LaserboxCommunityStagingUrl","FaqUrl_ios","FaqUrl_android","ContactUsUrl_ios","ContactUsUrl_android","LaserboxEnabled","IsRTL","isNounAdj","SeparateThousandsWithSpaces"
,,,,,,,,,,,,,"KR",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"AR",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"JP",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"TH",,,,,,,,,,,,,,,,
"WORD","sc/ui.sc","flag_gb","Longest Word",105,"false","localization/texts.csv","TRUE",,,,"en",,"CN","TRUE","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=en",,,,
,,,,,,,,,,,,,"CNT",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"KR",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"AR",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"JP",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"TH",,,,,,,,,,,,,,,,
"DE","sc/ui.sc","flag_gb","Deutsch",2,"true","localization/de.csv",,,,,"de",,,,"http://supercell.com/en/terms-of-service/de","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/de","https://inbox.brawlstars.com/de/","https://staging.inbox.brawlstars.com/de/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=de","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=de","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=de","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=de",,,,"TRUE"
"ES","sc/ui.sc","flag_gb","Español",3,"true","localization/es.csv",,,,,"es",,,,"http://supercell.com/en/terms-of-service/es","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/es","https://inbox.brawlstars.com/es/","https://staging.inbox.brawlstars.com/es/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=es","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=es","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=es","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=es",,,,
"IT","sc/ui.sc","flag_gb","Italiano",4,"true","localization/it.csv",,,,,"it",,,,"http://supercell.com/en/terms-of-service/it","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/it","https://inbox.brawlstars.com/it/","https://staging.inbox.brawlstars.com/it/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=it","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=it","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=it","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=it",,,,
"JP","sc/ui.sc","flag_gb","日本語",7,"true","localization/jp.csv",,"HiraKakuProN-W6",,,"ja",,,,"http://supercell.com/en/terms-of-service/jp","http://www.supercell.com/en/parents/jp","http://www.supercell.com/en/privacy-policy/jp","https://inbox.brawlstars.com/ja/","https://staging.inbox.brawlstars.com/ja/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=ja","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=ja","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=ja","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=ja",,,,
"CNT","sc/ui.sc","flag_gb","繁體中文",6,"true","localization/cnt.csv",,"STHeitiSC-Medium",,,"zh-Hant","zh_TW",,,"http://supercell.com/en/terms-of-service/tw","http://www.supercell.com/en/parents/tw","http://www.supercell.com/en/privacy-policy/tw","https://inbox.brawlstars.com/zh/","https://staging.inbox.brawlstars.com/zh/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=zh-hant","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=zh-hant","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=zh-hant","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=zh-hant",,,,
"KR","sc/ui.sc","flag_gb","한국어",8,"true","localization/kr.csv",,,,,"ko",,,,"http://supercell.com/en/terms-of-service/ko","http://www.supercell.com/en/parents/ko","http://www.supercell.com/en/privacy-policy/ko","https://inbox.brawlstars.com/ko/","https://staging.inbox.brawlstars.com/ko/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=ko","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=ko","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=ko","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=ko",,,,
"NL","sc/ui.sc","flag_gb","Nederlands",11,"true","localization/nl.csv",,,,,"nl",,,,"http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/nl/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=nl","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=nl","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=nl","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=nl",,,,
"PT","sc/ui.sc","flag_gb","Português",9,"true","localization/pt.csv",,,,,"pt","pt_Br",,,"http://supercell.com/en/terms-of-service/pt","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/pt","https://inbox.brawlstars.com/pt/","https://staging.inbox.brawlstars.com/pt/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=pt","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=pt","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=pt","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=pt",,,,
"RU","sc/ui.sc","flag_gb","Pусский",10,"true","localization/ru.csv",,,,,"ru",,,,"http://supercell.com/en/terms-of-service/ru","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/ru","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/ru/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=ru","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=ru","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=ru","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=ru",,,,"TRUE"
"TR","sc/ui.sc","flag_gb","Türkçe",12,"true","localization/tr.csv",,,,,"tr",,,,"http://supercell.com/en/terms-of-service/tr","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/tr","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/tr/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=tr","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=tr","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=tr","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=tr",,,,
"ID","sc/ui.sc","flag_gb","Bahasa Indonesia",17,"true","localization/id.csv",,,,,"id",,,,"http://supercell.com/en/terms-of-service/id","http://www.supercell.com/en/parents/id","http://www.supercell.com/en/privacy-policy/","https://inbox.brawlstars.com/id/","https://staging.inbox.brawlstars.com/id/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=id","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=id","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=id","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=id",,,,
"MS","sc/ui.sc","flag_gb","Bahasa Melayu",14,"true","localization/ms.csv",,,,,"ms",,,,"http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/ms","http://www.supercell.com/en/privacy-policy/","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/ms/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=ms","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=ms","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=ms","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=ms",,,,
"VI","sc/ui.sc","flag_gb","Tiếng Việt",15,"true","localization/vi.csv",,,,,"vi",,,,"http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/vi/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=vi","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=vi","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=vi","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=vi",,,,
"TH","sc/ui.sc","flag_gb","ภาษาไทย",16,"true","localization/th.csv",,"HelveticaNeue-Bold",,,"th",,,,"http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/th/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=th","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=th","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=th","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=th",,,,
"FI","sc/ui.sc","flag_gb","Suomi",13,"true","localization/fi.csv",,,,,"fi",,,,"http://supercell.com/en/terms-of-service/fi/","http://supercell.com/en/parents/fi/","http://supercell.com/en/privacy-policy/fi/","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/fi/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=fi","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=fi","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=fi","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=fi",,,,"TRUE"
"TEXT_ASIA","sc/ui.sc","flag_gb","Longest text Asia",106,"false","localization/texts.csv","TRUE",,,,"en",,"EN","TRUE","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=en",,,,
,,,,,,,,,,,,,"ES",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"AR",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"TR",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ID",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"MS",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"VI",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"NL",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"FI",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RU",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"PT",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"TH",,,,,,,,,,,,,,,,
"WORD_ASIA","sc/ui.sc","flag_gb","Longest Word Asia",107,"false","localization/texts.csv","TRUE",,,,"en",,"EN","TRUE","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=en","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=en",,,,
,,,,,,,,,,,,,"DE",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"FR",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"IT",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ES",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"AR",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"TR",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ID",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"MS",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"VI",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"NL",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"FI",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RU",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"PT",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"TH",,,,,,,,,,,,,,,,
"PL","sc/ui.sc","flag_gb","Polski",19,"true","localization/pl.csv",,,,,"pl",,,,"http://supercell.com/en/terms-of-service/fi/","http://supercell.com/en/parents/fi/","http://supercell.com/en/privacy-policy/fi/","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/fi/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=pl","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=pl","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=pl","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=pl",,,,
"HE","sc/ui.sc","flag_gb","עברית",20,"true","localization/he.csv",,,,,"iw",,,,"http://supercell.com/en/terms-of-service/fi/","http://supercell.com/en/parents/fi/","http://supercell.com/en/privacy-policy/fi/","https://inbox.brawlstars.com/","https://staging.inbox.brawlstars.com/fi/","https://inbox.brawlstars.com/community/","https://staging.inbox.brawlstars.com/community/","https://supercell.helpshift.com/a/brawl-stars/?p=ios&l=he","https://supercell.helpshift.com/a/brawl-stars/?p=android&l=he","https://supercell.helpshift.com/a/brawl-stars/?p=ios&contact=1&l=he","https://supercell.helpshift.com/a/brawl-stars/?p=android&contact=1&l=he",,"TRUE",,
