"Name","Conf","Campaign","ObtainType","PetSkin","PetSkin2","CostLegendaryTrophies","CostGems","TID","ShopTID","InfoTID","MaterialsFile","BlueTexture","RedTexture","BlueSpecular","RedSpecular"
"CrowWhite","CrowWhite",,,,,,80,"TID_CROW_WHITE_SKIN","TID_CROW_WHITE_SKIN_SHOP","TID_SKIN_INFO_NORMAL",,"crowwhite_d_01.pvr","crowwhite_d_01.pvr","crowwhite_d_01.pvr","crowwhite_d_01.pvr"
"DeadMariachiDefault","DeadMariachiDefault",,,,,,,,,,,"poco_tex.pvr","poco_tex.pvr","poco_tex.pvr","poco_tex.pvr"
"BowDudeDefault","BowDudeDefault",,,,,,,,,,,"bo_tex.pvr","bo_tex.pvr","bo_tex.pvr","bo_tex.pvr"
"SniperDefault","SniperDefault",,,,,,,,,,,"piper_tex.pvr","piper_tex.pvr","piper_tex.pvr","piper_tex.pvr"
"MinigunDudeDefault","MinigunDudeDefault",,,"HealstationDefault",,,,,,,,"pam_tex.pvr","pam_tex.pvr","pam_tex.pvr","pam_tex.pvr"
"BullGuyHair","BullGuyHair",,,,,,80,"TID_BULL_HAIR_SKIN","TID_BULL_HAIR_SKIN_SHOP","TID_SKIN_INFO_NORMAL",,"bull_viking_tex.pvr","bull_viking_tex.pvr","bull_viking_tex.pvr","bull_viking_tex.pvr"
"TrickshotGold","TrickshotGold",,,,,,150,"TID_TRICKSHOT_GOLD_SKIN","TID_TRICKSHOT_GOLD_SKIN_SHOP","TID_SKIN_INFO_FX",,"rico_gold_tex.pvr","rico_gold_tex.pvr","rico_gold_tex.pvr","rico_gold_tex.pvr"
"BarkeepGold","BarkeepGold",,,,,,30,"TID_BARKEEP_GOLD_SKIN","TID_BARKEEP_GOLD_SKIN_SHOP","TID_SKIN_INFO_FX",,"barley_banker_tex.pvr","barley_banker_tex.pvr","barley_banker_tex.pvr","barley_banker_tex.pvr"
"LuchadorRudo","LuchadorRudo",,,,,,80,"TID_LUCHADOR_RUDO_SKIN","TID_LUCHADOR_RUDO_SKIN_SHOP","TID_SKIN_INFO_ANIM",,"primo_elrudo_tex.pvr","primo_elrudo_tex.pvr","primo_elrudo_tex.pvr","primo_elrudo_tex.pvr"
"BanditGirlBandita","BanditGirlBandita",,,,,,30,"TID_SHOTGUN_BANDITA_SKIN","TID_SHOTGUN_BANDITA_SKIN_SHOP","TID_SKIN_INFO_NORMAL",,"shelly_bandita_tex.pvr","shelly_bandita_tex.pvr","shelly_bandita_tex.pvr","shelly_bandita_tex.pvr"
"LuchadorRey","LuchadorRey",,,,,,150,"TID_LUCHADOR_KING_SKIN","TID_LUCHADOR_KING_SKIN_SHOP","TID_SKIN_INFO_ANIM_FX",,"primo_elrey_tex.pvr","primo_elrey_tex.pvr","primo_elrey_tex.pvr","primo_elrey_tex.pvr"
"BallDefault","BallDefault",,,,,,,,,,,,,,
"BlackholeDefault","BlackholeDefault",,,,,,,,,,,"tara_tex.pvr","tara_tex.pvr","tara_tex.pvr","tara_tex.pvr"
"HealstationDefault","HealstationDefault",,,,,,,,,,,"healstion_tex.pvr","healstion_red_tex.pvr","healstion_red_tex.pvr","healstion_red_tex.pvr"
"BarrelbotDefault","BarrelbotDefault",,,,,,,,,,,"barrelbot_tex.pvr","barrelbot_tex_red.pvr","barrelbot_tex_red.pvr","barrelbot_tex_red.pvr"
"BlackholePetDefault","BlackholePetDefault",,,,,,,,,,,"ninja_ability_tex.pvr","ninja_ability_tex.pvr","ninja_ability_tex.pvr","ninja_ability_tex.pvr"
"TntPetDefault","TntPetDefault",,,,,,,,,,,"nita_bear_tex.pvr","nita_bear_tex.pvr","nita_bear_tex.pvr","nita_bear_tex.pvr"
"RangedBotDefault","RangedBotDefault",,,,,,,,,,,"rangedbot_tex.pvr","rangedbot_tex.pvr","rangedbot_tex.pvr","rangedbot_tex.pvr"
"MeleeFastBotDefault","MeleeFastBotDefault",,,,,,,,,,,"fastmeleebot_tex.pvr","fastmeleebot_tex.pvr","fastmeleebot_tex.pvr","fastmeleebot_tex.pvr"
"MeleeBotDefault","MeleeBotDefault",,,,,,,,,,,"meleebot_tex.pvr","meleebot_tex.pvr","meleebot_tex.pvr","meleebot_tex.pvr"
"BossBotDefault","BossBotDefault",,,,,,,,,,,"bossbot_tex.pvr","bossbot_tex.pvr","bossbot_tex.pvr","bossbot_tex.pvr"
"ArtilleryGalDefault","ArtilleryGalDefault",,,"ArtilleryTurretDefault",,,,,,,,"mari_tex.pvr","mari_tex.pvr","mari_tex.pvr","mari_tex.pvr"
"FrankDefault","FrankDefault",,,,,,,,,,,"frank_tex.pvr","frank_tex.pvr","frank_tex.pvr","frank_tex.pvr"
"ArtilleryTurretDefault","ArtilleryTurretDefault",,,,,,,,,,,"mari_tex.pvr","mari_tex.pvr","mari_tex.pvr","mari_tex.pvr"
"MechanicKnight","MechanicKnight",,,"TurretDragon",,,150,"TID_MECHANIC_KNIGHT_SKIN","TID_MECHANIC_KNIGHT_SKIN_SHOP","TID_SKIN_INFO_ANIM_FX_TURRET",,"jessie_knight_tex.pvr","jessie_knight_tex.pvr","jessie_knight_tex.pvr","jessie_knight_tex.pvr"
"FrankCaveman","FrankCaveman",,,,,,80,"TID_FRANK_CAVEMAN_SKIN","TID_FRANK_CAVEMAN_SKIN_SHOP","TID_SKIN_INFO_NORMAL",,"frank_caveman_01.pvr","frank_caveman_01.pvr","frank_caveman_01.pvr","frank_caveman_01.pvr"
"TurretDragon","TurretDragon",,,,,,,,,,,"turret_dragon_tex.pvr","turret_dragon_tex.pvr","turret_dragon_tex.pvr","turret_dragon_tex.pvr"
"MechanicSummer","MechanicSummer",,,"TurretSummertime",,,80,"TID_MECHANIC_SUMMER_SKIN","TID_MECHANIC_SUMMER_SKIN_SHOP","TID_SKIN_INFO_FX_TURRET",,"jessie_summertime_tex.pvr","jessie_summertime_tex.pvr","jessie_summertime_tex.pvr","jessie_summertime_tex.pvr"
"TurretSummertime","TurretSummertime",,,,,,,,,,,"turret_summertime_tex.pvr","turret_summertime_tex.pvr","turret_summertime_tex.pvr","turret_summertime_tex.pvr"
"CrowPheonix","CrowPheonix",,,,,,300,"TID_CROW_PHEONIX_SKIN","TID_CROW_PHEONIX_SKIN_SHOP","TID_SKIN_INFO_ANIM_FX",,"crow_pheonix_tex.pvr","crow_pheonix_tex.pvr","crow_pheonix_tex.pvr","crow_pheonix_tex.pvr"
"UndertakerGreaser","UndertakerGreaser",,,,,,150,"TID_UNDERTAKER_GREASER_SKIN","TID_UNDERTAKER_GREASER_SKIN_SHOP","TID_SKIN_INFO_ANIM",,"mortis_greaser_tex_02.pvr","mortis_greaser_tex_02.pvr","mortis_greaser_tex_02.pvr","mortis_greaser_tex_02.pvr"
"BigBotDefault","BigBotDefault",,,,,,,,,,,"meleebot_tex.pvr","meleebot_tex.pvr","meleebot_tex.pvr","meleebot_tex.pvr"
"BanditGirlPrereg","BanditGirlPrereg",,1,,,,,"TID_SHOTGUN_STAR_SKIN","TID_SHOTGUN_STAR_SKIN","TID_SKIN_INFO_FX",,"shelly_prereg_01.pvr","shelly_prereg_01.pvr","shelly_prereg_01.pvr","shelly_prereg_01.pvr"
"LootBox","LootBox",,,,,,,,,,,,,,
"TntBox","TntBox",,,,,,,,,,,,,,
"Safe","Safe",,,,,,,,,,,,,,
"TntGuySanta","TntGuySanta",1,4,,,,80,"TID_DYNAMIKE_SANTA_SKIN","TID_DYNAMIKE_SANTA_SKIN_SHOP","TID_SKIN_INFO_FX",,"dynamike_santa_blue_tex.pvr","dynamike_santa_tex.pvr","dynamike_santa_blue_tex.pvr","dynamike_santa_tex.pvr"
"TntGuyChef","TntGuyChef",,,,,,150,"TID_DYNAMIKE_CHEF_SKIN","TID_DYNAMIKE_CHEF_SKIN_SHOP","TID_SKIN_INFO_FX",,"dynamike_chef_blue_tex.pvr","dynamike_chef_tex.pvr","dynamike_chef_blue_tex.pvr","dynamike_chef_tex.pvr"
"RocketGirlBoombox","RocketGirlBoombox",,,,,,80,"TID_BROCK_BOOMBOX_SKIN","TID_BROCK_BOOMBOX_SKIN_SHOP","TID_SKIN_INFO_NORMAL",,"brock_boombox_blue_tex.pvr","brock_boombox_tex.pvr","brock_boombox_blue_tex.pvr","brock_boombox_tex.pvr"
"BarkeepWizard","BarkeepWizard",,2,,,,,"TID_BARLEY_WIZARD_SKIN","TID_BARLEY_WIZARD_SKIN","TID_SKIN_INFO_ANIM_SOUND_FX",,"barley_wizard_tex.pvr","barley_wizard_tex.pvr","barley_wizard_tex.pvr","barley_wizard_tex.pvr"
"ShamanReindeer","ShamanReindeer",1,4,"ShamanBearReindeer",,,150,"TID_NITA_REINDEER_SKIN","TID_NITA_REINDEER_SKIN_SHOP","TID_SKIN_INFO_NORMAL_PET",,"nita_reindeer_tex.pvr","nita_reindeer_tex.pvr","nita_reindeer_tex.pvr","nita_reindeer_tex.pvr"
"ArtilleryGalElf","ArtilleryGalElf",1,4,"ArtilleryTurretElf",,,80,"TID_PENNY_ELF_SKIN","TID_PENNY_ELF_SKIN_SHOP","TID_SKIN_INFO_FX_TURRET",,"penny_elf_tex.pvr","penny_elf_tex.pvr","penny_elf_tex.pvr","penny_elf_tex.pvr"
"NinjaDefault","NinjaDefault",,,,,,,,,,,"leon_tex.pvr","leon_tex.pvr","leon_tex.pvr","leon_tex.pvr"
"UndertakerHat","UndertakerHat",,5,,,,,"TID_UNDERTAKER_HAT_SKIN","TID_UNDERTAKER_HAT_SKIN","TID_SKIN_INFO_NORMAL",,"mortis_v2_tex.pvr","mortis_v2_tex.pvr","mortis_v2_tex.pvr","mortis_v2_tex.pvr"
"BullGuyFootbull","BullGuyFootbull",,,,,,80,"TID_SKIN_FOOTBULL","TID_SKIN_FOOTBULL_SHOP","TID_SKIN_INFO_NORMAL",,"bull_footbull_tex.png","bull_footbull_tex.png","bull_footbull_tex.png","bull_footbull_tex.png"
"ShamanBearReindeer","ShamanBearReindeer",,,,,,,,,,,"nita_bear_reindeer_tex.pvr","nita_bear_reindeer_tex.pvr","nita_bear_reindeer_tex.pvr","nita_bear_reindeer_tex.pvr"
"ArtilleryTurretElf","ArtilleryTurretElf",,,,,,,,,,,"penny_elf_tex.pvr","penny_elf_tex.pvr","penny_elf_tex.pvr","penny_elf_tex.pvr"
"HookDefault","HookDefault",,,,,,,,,,,"gene_tex.pvr","gene_tex.pvr","gene_tex.pvr","gene_tex.pvr"
"TrickshotPopcorn","TrickshotPopcorn",,,,,,150,"TID_SKIN_POPCORN_RICO","TID_SKIN_POPCORN_RICO_SHOP","TID_SKIN_INFO_FX",,"rico_popcorn_tex.pvr","rico_popcorn_tex.pvr","rico_popcorn_tex.pvr","rico_popcorn_tex.pvr"
"GunSlingerHanbok","GunSlingerHanbok",2,4,,,,150,"TID_SKIN_LUNAR_COLT","TID_SKIN_LUNAR_COLT_SHOP","TID_SKIN_INFO_FX",,"colt_hanbok_tex.pvr","colt_hanbok_tex.pvr","colt_hanbok_tex.pvr","colt_hanbok_tex.pvr"
"BarrelbotCny","BarrelbotCny",2,4,,,,80,"TID_SKIN_DUMPLING_DARRYL","TID_SKIN_DUMPLING_DARRYL_SHOP","TID_SKIN_INFO_FX",,"darryl_cny_tex.pvr","darryl_cny_tex.pvr","darryl_cny_tex.pvr","darryl_cny_tex.pvr"
"PocoValentine","PocoValentine",,,,,,150,"TID_SKIN_VALENTINE_POCO","TID_SKIN_VALENTINE_POCO_SHOP","TID_SKIN_INFO_FX",,"poco_valentine_tex.pvr","poco_valentine_tex.pvr","poco_valentine_tex.pvr","poco_valentine_tex.pvr"
"RocketGirlCny","RocketGirlCny",2,4,,,,150,"TID_SKIN_LUNAR_BROCK","TID_SKIN_LUNAR_BROCK_SHOP","TID_SKIN_INFO_FX",,"brock_cny_tex.pvr","brock_cny_tex.pvr","brock_cny_tex.pvr","brock_cny_tex.pvr"
"WhirlwindDefault","WhirlwindDefault",,,,,,,,,,,"carl_tex.pvr","carl_tex.pvr","carl_tex.pvr","carl_tex.pvr"
"RoboWarsBox","RoboWarsBox",,,,,,,,,,,,,,
"UndertakerNightwitch","UndertakerNightwitch",,,,,,150,"TID_UNDERTAKER_NIGHTWITCH_SKIN","TID_UNDERTAKER_NIGHTWITCH_SKIN_SHOP","TID_SKIN_INFO_FX",,"mortis_nightwitch_tex.pvr","mortis_nightwitch_tex.pvr","mortis_nightwitch_tex.pvr","mortis_nightwitch_tex.pvr"
"RoboWarsBaseDefault","RoboWarsBaseDefault",,,,,,,,,,,"siege_base.pvr","siege_base_red.pvr",,
"RosaDefault","RosaDefault",,,,,,,,,,,,,,
"MineCart","MineCart",,,,,,,,,,,,,,
"ShamanShiba","ShamanShiba",,,"ShamanBearShiba",,,150,"TID_SHAMAN_SHIBA_SKIN","TID_SHAMAN_SHIBA_SKIN_SHOP","TID_SKIN_INFO_ANIM_FX_SOUND_PET",,"nita_shiba_tex.pvr","nita_shiba_tex.pvr","nita_shiba_tex.pvr","nita_shiba_tex.pvr"
"ShamanBearShiba","ShamanBearShiba",,,,,,,,,,,"nita_bear_shiba_tex.pvr","nita_bear_shiba_tex.pvr","nita_bear_shiba_tex.pvr","nita_bear_shiba_tex.pvr"
"BaseballDefault","BaseballDefault",,,,,,,,,,,"bibi_tex.pvr","bibi_tex.pvr","bibi_tex.pvr","bibi_tex.pvr"
"MineCartB","MineCartB",,,,,,,,,,,,,,
"MineCartC","MineCartC",,,,,,,,,,,,,,
"MineCartD","MineCartD",,,,,,,,,,,,,,
"MineCartE","MineCartE",,,,,,,,,,,,,,
"ClusterBombDefault","ClusterBombDefault",,,,,,,,,,,"tick_tex.pvr","tick_tex.pvr","tick_tex.pvr","tick_tex.pvr"
"ClusterBombPetDefault","ClusterBombPetDefault",,,,,,,,,,,"tick_tex.pvr","tick_tex.pvr","tick_tex.pvr","tick_tex.pvr"
"ArtilleryGalBunny","ArtilleryGalBunny",,,"ArtilleryTurretBunny",,,80,"TID_PENNY_BUNNY_SKIN","TID_PENNY_BUNNY_SKIN_SHOP","TID_SKIN_INFO_FX_TURRET",,"penny_bunny_tex.pvr","penny_bunny_tex.pvr","penny_bunny_tex.pvr","penny_bunny_tex.pvr"
"ArtilleryTurretBunny","ArtilleryTurretBunny",,,,,,,,,,,"penny_bunny_tex.pvr","penny_bunny_tex.pvr","penny_bunny_tex.pvr","penny_bunny_tex.pvr"
"BarkeepMs","BarkeepMs",,,,,,150,"TID_BARLEY_MS_SKIN","TID_BARLEY_MS_SKIN_SHOP","TID_SKIN_INFO_ANIM_FX",,"barley_ms_tex.pvr","barley_ms_tex.pvr","barley_ms_tex.pvr","barley_ms_tex.pvr"
"RocketGirlHotrod","RocketGirlHotrod",,,,,,150,"TID_BROCK_HOTROD_SKIN","TID_BROCK_HOTROD_SKIN_SHOP","TID_SKIN_INFO_FX",,"brock_hotrod_tex.pvr","brock_hotrod_tex.pvr","brock_hotrod_tex.pvr","brock_hotrod_tex.pvr"
"BarkeepMaple","BarkeepLumberjack",,,,,,80,"TID_BARLEY_MAPLE_SKIN","TID_BARLEY_MAPLE_SKIN_SHOP","TID_SKIN_INFO_FX",,"barley_lumberjack_tex.pvr","barley_lumberjack_tex.pvr","barley_lumberjack_tex.pvr","barley_lumberjack_tex.pvr"
"WhirlwindRR","WhirlwindHotrod",,,,,,80,"TID_CARL_RR_SKIN","TID_CARL_RR_SKIN_SHOP","TID_SKIN_INFO_FX",,"carl_hotrod_tex.pvr","carl_hotrod_tex.pvr","carl_hotrod_tex.pvr","carl_hotrod_tex.pvr"
"BoMecha","BoMecha",,,,,,300,"TID_BO_MECHA_SKIN","TID_BO_MECHA_SKIN_SHOP","TID_SKIN_INFO_ANIM_SOUND_FX_VOICE",,"bo_mecha_tex.png+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)","bo_mecha_tex.png","bo_mecha_tex.png+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)","bo_mecha_tex.png"
"CrowMecha","CrowMecha",,,,,,300,"TID_CROW_MECHA_SKIN","TID_CROW_MECHA_SKIN_SHOP","TID_SKIN_INFO_ANIM_SOUND_FX_VOICE",,"crow_mecha_tex.png","crow_mecha_tex.png","crow_mecha_tex.png","crow_mecha_tex.png"
"Cactusmecha","Cactusmecha",,,,,,150,"TID_SPIKE_ROBO_SKIN","TID_SPIKE_ROBO_SKIN_SHOP","TID_SKIN_INFO_ANIM_SOUND_FX",,"spike_mecha_tex.pvr","spike_mecha_tex.pvr","spike_mecha_tex.pvr","spike_mecha_tex.pvr"
"TntDudeMecha","TntDudeMecha",,,,,,300,"TID_MIKE_ROBO_SKIN","TID_MIKE_ROBO_SKIN_SHOP","TID_SKIN_INFO_ANIM_SOUND_FX_VOICE",,"dynamike_mecha_tex.pvr+hue(masks/dynamike/dynamike_mecha_ammo_msk.png,198.000000)+value(masks/dynamike/dynamike_mecha_ammo_msk.png,1.279000)","dynamike_mecha_tex.pvr","dynamike_mecha_tex.pvr+hue(masks/dynamike/dynamike_mecha_ammo_msk.png,198.000000)","dynamike_mecha_tex.pvr"
"BowDudeMechaWhite","BoMecha",,,,,10000,,"TID_BO_MECHA_LIGHT_SKIN","TID_BO_MECHA_LIGHT_SKIN_SHOP","TID_SKIN_INFO_ANIM_SOUND_FX_VOICE",,"bo_mecha_tex.png+saturation(masks/bo/bo_mecha_colour02_msk.png,0.000000)+saturation(masks/bo/bo_mecha_colour01_msk.png,2.674000)+value(masks/bo/bo_mecha_colour01_msk.png,2.442000)+hue(masks/bo/bo_mecha_colour01_msk.png,12.558000)+saturation(masks/bo/bo_mecha_seams_msk.png,0.000000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,20.930000)+value(masks/bo/bo_mecha_colour02_msk.png,0.800000)+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)","bo_mecha_tex.png+saturation(masks/bo/bo_mecha_colour02_msk.png,0.000000)+saturation(masks/bo/bo_mecha_colour01_msk.png,2.674000)+value(masks/bo/bo_mecha_colour01_msk.png,2.442000)+hue(masks/bo/bo_mecha_colour01_msk.png,12.558000)+saturation(masks/bo/bo_mecha_seams_msk.png,0.000000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,20.930000)+value(masks/bo/bo_mecha_colour02_msk.png,0.800000)","bo_mecha_tex.png+saturation(masks/bo/bo_mecha_colour02_msk.png,0.000000)+saturation(masks/bo/bo_mecha_colour01_msk.png,5.349000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,20.930000)+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)","bo_mecha_tex.png+saturation(masks/bo/bo_mecha_colour02_msk.png,0.000000)+saturation(masks/bo/bo_mecha_colour01_msk.png,5.349000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,20.930000)+hue(masks/bo/bo_mecha_colour02_msk.png,0.000000)"
"BowDudeMechaGold","BoMecha",,,,,50000,,"TID_BO_MECHA_GOLD_SKIN","TID_BO_MECHA_GOLD_SKIN_SHOP","TID_SKIN_INFO_ANIM_SOUND_FX_VOICE",,"bo_mecha_tex.png+value(masks/bo/bo_mecha_colour01_msk.png,1.047000)+saturation(masks/bo/bo_mecha_colour01_msk.png,8.721000)+hue(masks/bo/bo_mecha_colour01_msk.png,12.558000)+hue(masks/bo/bo_mecha_colour02_msk.png,16.000000)+value(masks/bo/bo_mecha_colour02_msk.png,3.605000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,213.488007)+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)","bo_mecha_tex.png+value(masks/bo/bo_mecha_colour01_msk.png,1.047000)+saturation(masks/bo/bo_mecha_colour01_msk.png,8.721000)+hue(masks/bo/bo_mecha_colour01_msk.png,12.558000)+hue(masks/bo/bo_mecha_colour02_msk.png,16.000000)+value(masks/bo/bo_mecha_colour02_msk.png,3.605000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,213.488007)","bo_mecha_tex.png+hue(masks/bo/bo_mecha_colour01_msk.png,12.558000)+hue(masks/bo/bo_mecha_colour01_msk.png,1.047000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,221.860001)+hue(masks/bo/bo_mecha_colour02_msk.png,8.372000)+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)","bo_mecha_tex.png+hue(masks/bo/bo_mecha_colour01_msk.png,12.558000)+hue(masks/bo/bo_mecha_colour01_msk.png,1.047000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,221.860001)+hue(masks/bo/bo_mecha_colour02_msk.png,8.372000)"
"CrowMechaGold","CrowMecha",,,,,50000,,"TID_CROW_MECHA_GOLD_SKIN","TID_CROW_MECHA_GOLD_SKIN_SHOP","TID_SKIN_INFO_ANIM_SOUND_FX_VOICE",,"crow_mechagold_tex.png","crow_mechagold_tex.png","crow_mechagold_tex.png","crow_mechagold_tex.png"
"CrowMechaNight","CrowMecha",,,,,10000,,"TID_CROW_MECHA_NIGHT_SKIN","TID_CROW_MECHA_NIGHT_SKIN_SHOP","TID_SKIN_INFO_ANIM_SOUND_FX_VOICE",,"crow_mecha_tex.png+saturation(masks/crow/crow_mecha_colour01_msk.png,0.000000)+value(masks/crow/crow_mecha_colour01_msk.png,0.200000)+value(masks/crow/crow_mecha_colour02_msk.png,0.500000)+saturation(masks/crow/crow_mecha_colour02_msk.png,2.093000)+hue(masks/crow/crow_mecha_colour03_msk.png,209.302002)+value(masks/crow/crow_mecha_colour03_msk.png,1.400000)","crow_mecha_tex.png+saturation(masks/crow/crow_mecha_colour01_msk.png,0.000000)+value(masks/crow/crow_mecha_colour01_msk.png,0.200000)+value(masks/crow/crow_mecha_colour02_msk.png,0.500000)+saturation(masks/crow/crow_mecha_colour02_msk.png,2.093000)+hue(masks/crow/crow_mecha_colour03_msk.png,209.302002)+value(masks/crow/crow_mecha_colour03_msk.png,1.400000)","crow_mecha_tex.png+saturation(masks/crow/crow_mecha_colour01_msk.png,1.047000)+value(masks/crow/crow_mecha_colour01_msk.png,0.233000)+value(masks/crow/crow_mecha_colour02_msk.png,0.814000)+hue(masks/crow/crow_mecha_colour03_msk.png,209.302002)","crow_mecha_tex.png+saturation(masks/crow/crow_mecha_colour01_msk.png,1.047000)+value(masks/crow/crow_mecha_colour01_msk.png,0.233000)+value(masks/crow/crow_mecha_colour02_msk.png,0.814000)+hue(masks/crow/crow_mecha_colour03_msk.png,209.302002)"
"BullDudeFootbullBlue","BullGuyFootbull",,,,,2500,,"TID_BULL_LINEBACKER_SKIN","TID_BULL_LINEBACKER_SKIN_SHOP","TID_SKIN_INFO_NORMAL",,"bull_footbull_tex.png+hue(masks/bull/bull_footbull_colour01_msk.png,217.673996)+value(masks/bull/bull_footbull_colour01_msk.png,1.744000)+saturation(masks/bull/bull_footbull_colour01_msk.png,2.558000)+value(masks/bull/bull_footbull_helmet_msk.png,0.465000)+value(masks/bull/bull_footbull_metal_msk.png,0.233000)","bull_footbull_tex.png+hue(masks/bull/bull_footbull_colour01_msk.png,217.673996)+value(masks/bull/bull_footbull_colour01_msk.png,1.744000)+saturation(masks/bull/bull_footbull_colour01_msk.png,2.558000)+value(masks/bull/bull_footbull_helmet_msk.png,0.465000)+value(masks/bull/bull_footbull_metal_msk.png,0.233000)","bull_footbull_tex.png+hue(masks/bull/bull_footbull_colour01_msk.png,217.673996)","bull_footbull_tex.png+hue(masks/bull/bull_footbull_colour01_msk.png,217.673996)"
"GunslingerOutlaw","GunSlingerRockstar",,,,,500,,"TID_COLT_OUTLAW_SKIN","TID_COLT_OUTLAW_SKIN_SHOP","TID_SKIN_INFO_NORMAL",,"colt_outlaw_tex.pvr","colt_outlaw_tex.pvr","colt_outlaw_tex.pvr","colt_outlaw_tex.pvr"
